dup_rate,key_id,m,tail_op,n_cu_versions,current_op,eligible,dup_injected_any,n_versions_duplicated,dup_on_current,caused_violation,verdict
0.05,994,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,726,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,626,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,210,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,15,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,295,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,572,2,d,1,d,False,False,0,False,False,MATCH_OR_OTHER
0.05,414,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,673,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,514,4,u,4,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,194,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,956,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,139,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,578,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,752,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,508,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,609,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,810,3,c,2,c,True,False,0,False,False,MATCH_OR_OTHER
0.05,676,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,376,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,162,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,1050,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,41,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,739,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,261,4,d,3,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,1168,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,316,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1046,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,533,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1196,3,u,3,u,True,True,1,True,True,DUPLICATE
0.05,715,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,95,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,268,2,d,1,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,873,5,u,5,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1013,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,580,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1093,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,69,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,408,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,835,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,449,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,943,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,893,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,163,4,u,4,u,True,True,1,True,True,DUPLICATE
0.05,806,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,535,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
