config.base_keys,config.base_ts_ms,config.checkpoint_events,config.clock_skew_ms,config.config_hash,config.dup_rate,config.enforcement_mode,config.format,config.insert_rate,config.keep_tables,config.key_columns,config.keys_sampled,config.max_events,config.ooo_rate,config.ooo_window,config.op_mix,config.payload_columns,config.precombine_field,config.scale_factor,config.schema_change_freq,config.seed,config.ts_step_ms,config.version_column,config.versions_per_key_mean,correctness.checker_oracle_mismatch,correctness.n_agree,correctness.n_checker_abstain,correctness.n_correctly_absent,correctness.n_delete_tail_blind,correctness.n_duplicate,correctness.n_ghost,correctness.n_keys,correctness.n_match,correctness.n_missing_current,correctness.n_stale_wins,correctness.n_violations,correctness.violation_rate,cost.apply_time_s,cost.bytes_data,cost.bytes_delete,cost.bytes_total,cost.commit_count,cost.data_files,cost.delete_files,cost.events,cost.events_per_s,cost.gen_time_s,cost.mb_per_s,cost.peak_rss_mb,cost.readback_time_s,error,status
1200,1700000000000,50000,0.0,a63d35c7e27c,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.6,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,4.746,453967,2528,456495,2,1,2,7407,1560.7,0.447,0.096,52.1,0.273,,ok
1200,1700000000000,50000,0.0,d321975af62d,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.0,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.6,101,1,lsn,4,False,0,0,0,0,0,0,1260,1220,40,0,40,0.031746031746031744,76.526,109336,0,109336,54,41,0,7407,96.8,0.455,0.001,29.5,0.893,,ok
1200,1700000000000,50000,400,6e06ba1a0e82,0.05,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,1075,0,139,34,215,46,1260,961,1,37,299,0.2373015873015873,9.021,95509,30456,125965,50,48,49,12623,1399.3,0.443,0.014,41.5,1.318,,ok
1200,1700000000000,50000,0.0,50ad0b187797,0.15,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.25,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,135,44,168,50,1260,849,16,177,411,0.3261904761904762,9.2,108900,32424,141324,51,50,50,14264,1550.4,0.44,0.015,50.6,1.321,,ok
1200,1700000000000,50000,1500,ecd02b30d3f0,0.0,unsafe,iceberg,0.05,False,"[""id""]",1.0,5000000,0.1,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,165,20,0,20,1260,1147,6,87,113,0.08968253968253968,9.072,96399,32424,128823,51,50,50,13360,1472.7,0.45,0.014,48.2,1.342,,ok
1200,1700000000000,50000,400,e7ef85785b55,0.05,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1126,0,134,134,0.10634920634920635,4.788,453972,2528,456500,2,1,2,7407,1547.0,0.445,0.095,52.1,0.299,,ok
1200,1700000000000,50000,0.0,4882707cd0ed,0.15,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.25,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,1260,0,0,0,0.0,4.757,453966,2528,456494,2,1,2,7407,1557.1,0.44,0.096,52.0,0.292,,ok
1200,1700000000000,50000,1500,5999f4b82460,0.0,unsafe,hudi,0.05,False,"[""id""]",1.0,5000000,0.1,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,1075,0,185,0,0,0,1260,869,0,391,391,0.3103174603174603,5.015,454147,2528,456675,2,1,2,7407,1477.0,0.475,0.091,48.7,0.363,,ok
1200,1700000000000,50000,400,dcdf6704d5a5,0.05,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.05,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.2,101,1,lsn,4,False,0,0,0,0,0,0,1260,1204,11,39,56,0.044444444444444446,100.02,145070,0,145070,68,44,0,7723,77.2,0.458,0.001,29.2,0.939,,ok
1200,1700000000000,50000,0.0,1b5ece1421d3,0.15,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.25,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,988,16,206,272,0.21587301587301588,101.065,163396,0,163396,70,44,0,8311,82.2,0.45,0.002,29.8,1.235,,ok
1200,1700000000000,50000,1500,d1c08b00a94a,0.0,unsafe,delta,0.05,False,"[""id""]",1.0,5000000,0.1,4,"[0.8, 0.15, 0.05]","[""val""]",ts_ms,1,0.0,101,1,lsn,4,False,0,0,0,0,0,0,1260,1147,6,87,113,0.08968253968253968,130.036,162404,0,162404,70,44,0,7407,57.0,0.467,0.001,27.5,1.016,,ok
