key_id,m,competitive_ops,tail_op,n_cu_versions,current_op,current_is_cu,current_dup_uniform,current_dup_fired,n_flags_fired,duplicate,verdict
87,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
452,4,uuuu,u,4,u,True,0.848731,False,0,False,MATCH_OR_OTHER
1121,1,u,u,1,u,True,0.958653,False,0,False,MATCH_OR_OTHER
125,6,uuuuud,d,5,d,False,-,False,0,False,MATCH_OR_OTHER
815,8,uuuuuuuu,u,8,u,True,0.554239,False,2,False,MATCH_OR_OTHER
581,4,uuuu,u,4,u,True,0.523817,False,0,False,MATCH_OR_OTHER
1028,3,uuu,u,3,u,True,0.943706,False,0,False,MATCH_OR_OTHER
912,2,uu,u,2,u,True,0.368058,False,0,False,MATCH_OR_OTHER
868,2,uu,u,2,u,True,0.382779,False,0,False,MATCH_OR_OTHER
680,3,uuu,u,3,u,True,0.773730,False,1,False,MATCH_OR_OTHER
1065,3,uuu,u,3,u,True,0.479074,False,2,False,MATCH_OR_OTHER
136,5,uuudc,c,4,c,True,0.852418,False,0,False,MATCH_OR_OTHER
1239,3,cuu,u,3,u,True,0.398020,False,1,False,MATCH_OR_OTHER
677,1,u,u,1,u,True,0.644761,False,0,False,MATCH_OR_OTHER
76,6,uuuuud,d,5,d,False,-,False,0,False,MATCH_OR_OTHER
231,3,uuu,u,3,u,True,0.068260,True,2,True,DUPLICATE
995,4,uuuu,u,4,u,True,0.390477,False,1,False,MATCH_OR_OTHER
221,3,uud,d,2,d,False,-,False,0,False,MATCH_OR_OTHER
359,5,uuuuu,u,5,u,True,0.012835,True,3,True,DUPLICATE
703,1,u,u,1,u,True,0.310690,False,0,False,MATCH_OR_OTHER
940,2,uu,u,2,u,True,0.663827,False,1,False,MATCH_OR_OTHER
643,1,u,u,1,u,True,0.689761,False,0,False,MATCH_OR_OTHER
1180,2,uu,u,2,u,True,0.405780,False,1,False,MATCH_OR_OTHER
500,4,uuud,d,3,d,False,-,False,1,False,MATCH_OR_OTHER
