key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
597,10,1238;2844;3030;3064;3607;3628;3787;4172;4276;6024,uuuuuuuuud,1;2;3;4;5;6;7;8;9;10,1;2;3;4;6;5;7;9;10;8,9,5;8;9,0.059239,True,d,6024,8,10,4276,u,1,True,GHOST
383,6,1239;1354;3659;4845;5882;6397,uuuuuu,1;2;3;4;5;6,1;2;3;4;5;6,5,-,0.924631,False,u,6397,5,6,6397,u,1,False,MATCH
153,10,1240;2021;2501;3224;4481;5317;5555;5961;6859;7270,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,2;1;3;4;5;6;7;9;8;10,9,1;8,0.959168,False,u,7270,9,10,7270,u,1,False,MATCH
1102,3,1241;6055;6783,uuu,1;2;3,1;3;2,2,2,0.082158,True,u,6783,1,3,6055,u,1,True,STALE_WINS
277,16,1242;1287;1368;1478;1850;2858;3803;3880;4107;4309;4434;4547;5279;6564;6695;7267,uuuuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1;3;2;4;5;6;8;7;9;10;11;12;13;14;15;16,15,2;7,0.978813,False,d,7267,15,16,7267,d,0,False,MATCH
1238,8,1243;1467;3585;3828;4734;6221;7253;7356,cuuuuuuu,1;2;3;4;5;6;7;8,1;3;4;5;6;2;8;7,7,2;3;4;5;7,0.172299,True,u,7356,6,8,7253,u,1,True,STALE_WINS
112,10,1244;1728;2305;4119;4400;5190;5608;5618;6181;7098,uuuuuuuuud,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;7;6;9;8;10,9,6;8,0.508333,False,d,7098,9,10,7098,d,0,False,MATCH
1116,6,1245;1642;2572;3136;3276;5387,uuuuuu,1;2;3;4;5;6,1;2;3;4;6;5,5,5,0.155507,True,u,5387,4,6,3276,u,1,True,STALE_WINS
880,18,1246;1439;1488;1632;1659;1681;1750;1846;2555;3417;3521;4005;4657;5129;5323;5594;6883;7353,uuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,1;2;4;3;6;5;7;8;9;10;11;13;12;14;15;16;17;18,17,3;5;12,0.790859,False,u,7353,17,18,7353,u,1,False,MATCH
499,6,1247;2487;2798;5596;6152;7361,uuuuuu,1;2;3;4;5;6,1;3;2;4;6;5,5,2;5,0.229913,True,u,7361,4,6,6152,u,1,True,STALE_WINS
652,8,1248;1858;2256;3320;4231;4671;5560;6482,uuuuuuuu,1;2;3;4;5;6;7;8,2;1;3;5;6;7;4;8,7,1;4;5;6,0.505278,False,u,6482,7,8,6482,u,1,False,MATCH
1150,2,1250;2674,uu,1;2,1;2,1,-,0.700895,False,u,2674,1,2,2674,u,1,False,MATCH
399,13,1251;1516;2209;2891;2906;3489;3691;3806;4906;5088;6376;6846;7370,uuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13,2;3;1;4;5;6;7;8;10;9;11;12;13,12,1;2;9,0.542209,False,u,7370,12,13,7370,u,1,False,MATCH
671,4,1252;1338;3215;6249,uuuu,1;2;3;4,1;3;2;4,3,2,0.437873,False,u,6249,3,4,6249,u,1,False,MATCH
315,9,1253;2563;2864;3080;4505;5095;5497;5855;6175,uuuuuuuuu,1;2;3;4;5;6;7;8;9,1;2;3;4;5;7;6;8;9,8,6,0.733163,False,u,6175,8,9,6175,u,1,False,MATCH
1164,10,1254;2473;2742;3147;3287;5295;5658;6974;7148;7189,uuuuuuuuuu,1;2;3;4;5;6;7;8;9;10,1;3;2;4;6;7;5;8;9;10,9,2;5;6,0.262090,False,u,7189,9,10,7189,u,1,False,MATCH
1236,2,1255;4532,cu,1;2,1;2,1,-,0.374891,False,u,4532,1,2,4532,u,1,False,MATCH
304,3,1256;3883;6878,uuu,1;2;3,1;2;3,2,-,0.951617,False,u,6878,2,3,6878,u,1,False,MATCH
505,14,1258;1343;1446;1455;3298;3471;3748;4988;5011;5162;6273;7060;7244;7385,uuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1;3;2;4;6;5;7;8;9;11;10;12;14;13,13,2;5;10;13,0.197336,True,d,7385,12,14,7244,u,1,True,GHOST
